               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.024215,            0.012531,           0.0093902,             0.77717,             0.67406,             0.74315,             0.55888,            0.031859,             0.01201,            0.037168,            0.004357,            0.004357,            0.004357
                  59,            0.024074,            0.013004,           0.0098414,             0.77734,             0.64353,             0.71924,             0.53916,            0.031292,            0.012507,            0.038722,            0.004258,            0.004258,            0.004258
                  60,            0.023979,            0.012424,           0.0085254,             0.75985,             0.66725,             0.72479,             0.54228,            0.030639,            0.012239,            0.038505,            0.004159,            0.004159,            0.004159
                  61,            0.023492,            0.012307,            0.009084,             0.81484,             0.64093,             0.73554,             0.55586,            0.031263,            0.012249,            0.038667,             0.00406,             0.00406,             0.00406
                  62,            0.023547,            0.012946,           0.0083722,             0.76365,             0.61905,             0.70878,             0.53934,            0.031415,            0.012025,            0.043214,            0.003961,            0.003961,            0.003961
                  63,            0.023002,            0.012908,           0.0076364,             0.78082,             0.64472,             0.72773,             0.55348,            0.030724,            0.012226,            0.035437,            0.003862,            0.003862,            0.003862
                  64,            0.022793,            0.012357,           0.0079246,             0.79093,             0.63313,             0.72686,             0.54971,             0.03009,             0.01228,            0.039178,            0.003763,            0.003763,            0.003763
                  65,            0.022414,            0.012135,           0.0078721,             0.80351,             0.64333,             0.73331,             0.55821,            0.030733,            0.012429,            0.038709,            0.003664,            0.003664,            0.003664
                  66,            0.022535,            0.012107,           0.0084775,             0.78275,             0.63971,             0.71517,             0.54493,            0.030885,            0.012427,            0.040505,            0.003565,            0.003565,            0.003565
                  67,            0.021738,             0.01164,            0.007993,             0.78365,             0.62933,             0.71985,             0.55105,            0.030908,            0.012121,             0.03806,            0.003466,            0.003466,            0.003466
                  68,            0.021813,            0.012016,           0.0083358,             0.80241,             0.65446,             0.73091,             0.56248,            0.030548,            0.011806,            0.038246,            0.003367,            0.003367,            0.003367
                  69,            0.021805,            0.012033,           0.0070562,             0.78356,             0.63547,             0.71787,             0.54949,            0.030805,            0.012341,            0.038835,            0.003268,            0.003268,            0.003268
                  70,            0.021743,            0.012136,           0.0068244,             0.76777,             0.66257,             0.72847,             0.55453,            0.030565,            0.012209,            0.037965,            0.003169,            0.003169,            0.003169
                  71,            0.020911,            0.012333,           0.0072965,             0.80394,             0.63714,              0.7322,             0.57286,            0.029598,            0.012153,            0.037181,             0.00307,             0.00307,             0.00307
                  72,            0.021278,            0.012085,           0.0072568,             0.80872,             0.63885,             0.72703,             0.56388,            0.030852,            0.012187,            0.038483,            0.002971,            0.002971,            0.002971
                  73,            0.020247,            0.011222,            0.006414,             0.76499,             0.66971,             0.72665,             0.55744,            0.029991,            0.012372,            0.038912,            0.002872,            0.002872,            0.002872
                  74,            0.020412,            0.011711,            0.006599,             0.82001,             0.64223,             0.74285,             0.57599,              0.0302,            0.012223,            0.036734,            0.002773,            0.002773,            0.002773
                  75,            0.020677,            0.011609,           0.0070738,             0.80395,             0.63947,             0.73017,              0.5672,            0.030794,            0.012606,            0.039221,            0.002674,            0.002674,            0.002674
                  76,            0.019862,            0.011215,           0.0062201,              0.8271,             0.65288,             0.74478,             0.58121,            0.030302,            0.012344,            0.037061,            0.002575,            0.002575,            0.002575
                  77,            0.020097,            0.011413,           0.0061757,             0.79249,             0.66598,             0.73902,             0.58265,            0.029736,            0.012551,            0.036423,            0.002476,            0.002476,            0.002476
                  78,              0.0202,            0.011318,            0.006233,             0.80867,             0.67015,             0.74416,             0.58428,            0.029801,            0.012241,            0.035477,            0.002377,            0.002377,            0.002377
                  79,            0.019478,            0.011562,           0.0053936,             0.82706,              0.6419,             0.73559,             0.57124,            0.029651,            0.012151,             0.03549,            0.002278,            0.002278,            0.002278
                  80,            0.019422,            0.011082,           0.0054594,             0.82908,             0.64577,             0.73657,              0.5752,            0.029692,            0.012463,            0.035695,            0.002179,            0.002179,            0.002179
                  81,            0.019547,            0.011447,           0.0058572,             0.82768,             0.65438,             0.74879,             0.58714,            0.029771,            0.012284,            0.033676,             0.00208,             0.00208,             0.00208
                  82,             0.01856,            0.010579,           0.0051013,             0.81178,             0.64401,             0.73745,             0.57801,            0.029542,            0.012343,            0.037887,            0.001981,            0.001981,            0.001981
                  83,            0.018797,            0.011648,           0.0052516,             0.82289,             0.64712,             0.74485,              0.5855,            0.029616,            0.012234,            0.035941,            0.001882,            0.001882,            0.001882
                  84,            0.018571,            0.010953,           0.0051408,             0.82244,             0.66213,             0.74624,             0.58902,            0.029874,            0.012099,             0.03515,            0.001783,            0.001783,            0.001783
                  85,            0.018298,            0.011116,           0.0053676,              0.7765,             0.66062,             0.74079,             0.58392,            0.029102,            0.012126,            0.037121,            0.001684,            0.001684,            0.001684
                  86,            0.018082,            0.010923,           0.0049617,             0.79137,             0.66302,             0.74603,              0.5932,            0.029058,            0.012367,            0.034875,            0.001585,            0.001585,            0.001585
                  87,            0.017773,            0.010845,           0.0048914,             0.81999,              0.6715,             0.75546,             0.59725,            0.029043,            0.012308,            0.033202,            0.001486,            0.001486,            0.001486
                  88,            0.017749,            0.010694,           0.0044212,             0.79859,             0.67693,             0.75464,             0.59867,            0.028888,            0.012355,            0.034291,            0.001387,            0.001387,            0.001387
                  89,            0.017474,            0.011015,           0.0049523,             0.80636,             0.65848,             0.75306,              0.5977,            0.029052,            0.012331,            0.034881,            0.001288,            0.001288,            0.001288
                  90,            0.017492,            0.010219,           0.0046485,             0.81555,             0.67395,             0.75725,             0.60561,             0.02859,            0.012487,            0.033839,            0.001189,            0.001189,            0.001189
                  91,            0.017229,            0.010839,           0.0050467,             0.80324,             0.66389,              0.7475,             0.59525,            0.028592,            0.012868,            0.035449,             0.00109,             0.00109,             0.00109
                  92,             0.01628,            0.010266,           0.0042659,             0.81742,             0.66099,             0.75327,             0.60081,            0.028773,            0.012646,             0.03534,            0.000991,            0.000991,            0.000991
                  93,            0.017117,            0.010556,           0.0041187,             0.83344,             0.66721,             0.74917,              0.5941,            0.028709,            0.012902,            0.035299,            0.000892,            0.000892,            0.000892
                  94,            0.016663,            0.010561,           0.0045332,             0.79679,              0.6763,             0.75201,             0.60202,            0.028609,             0.01292,             0.03546,            0.000793,            0.000793,            0.000793
                  95,            0.016182,             0.01053,           0.0039508,             0.80865,             0.68287,             0.75137,             0.60147,            0.028521,            0.012932,            0.035255,            0.000694,            0.000694,            0.000694
                  96,            0.015928,           0.0099653,           0.0039995,             0.83817,             0.66174,             0.75418,             0.59968,            0.028623,            0.012686,            0.035867,            0.000595,            0.000595,            0.000595
                  97,            0.015975,            0.010348,           0.0042545,             0.81278,             0.67781,             0.74973,             0.59977,              0.0288,            0.012766,            0.035661,            0.000496,            0.000496,            0.000496
                  98,             0.01598,            0.010321,           0.0041304,             0.81269,             0.68814,             0.75054,             0.59996,            0.028846,            0.012765,            0.035725,            0.000397,            0.000397,            0.000397
                  99,            0.015318,           0.0094926,           0.0037287,             0.80101,             0.68653,             0.74607,             0.59636,            0.028649,            0.012813,            0.035995,            0.000298,            0.000298,            0.000298
